hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude,arrival_date,arrival_dayofweek,arrival_quarter,arrival_is_weekend,total_nights,weekend_ratio,total_guests,has_children,lead_time_group,avg_price_month_hotel,price_ratio,customer_Contract,customer_Group,customer_Transient,customer_Transient-Party,market_Corporate,market_Direct,market_Groups,market_Offline TA,market_Online TA,is_returning_customer,season,season_autumn,season_spring,season_summer,season_winter,is_peak_season,total_price
City Hotel,0,107,2022,August,8,8,6,1,5,1,2,0,SC,FRA,Corporate,TA/TO,0,1,3,C,H,4,No Deposit,19.0,5.0,2,Contract,54.22187941047636,2,4,Check-Out,2022-06-17,31.182621541334747,121.46591764214004,2022-08-06,5,3,1,6,0.16666666666666666,3,1,three_months,272.03898069668134,0.19931658055627255,True,False,False,False,True,False,False,False,False,0,summer,False,False,True,False,1,325.33127646285817
City Hotel,0,81,2023,April,4,23,16,3,3,2,3,0,FB,DEU,Groups,Direct,0,1,1,A,G,4,No Deposit,11.0,5.0,25,Transient,111.68373585783245,2,4,Check-Out,2022-01-28,31.293487881731345,121.4306551163478,2023-04-16,6,2,1,6,0.5,5,1,one_month,276.53648823434116,0.40386618261815044,False,False,True,False,False,False,True,False,False,0,spring,False,True,False,False,0,670.1024151469946
City Hotel,0,59,2023,February,2,45,12,0,1,4,2,0,SC,FRA,Online TA,Corporate,0,1,4,E,D,4,No Deposit,14.0,5.0,14,Transient,336.259257505463,0,4,Check-Out,2022-11-15,31.22683159028401,121.41394093545772,2023-02-12,6,1,1,1,0.0,6,1,one_month,292.99685199897476,1.1476548475225243,False,False,True,False,False,False,False,False,True,0,winter,False,False,False,True,1,336.259257505463
City Hotel,0,343,2023,October,10,39,3,0,14,1,0,0,FB,ESP,Groups,TA/TO,0,2,4,F,B,0,No Deposit,11.0,5.0,0,Transient,392.997400201007,2,1,Check-Out,2023-11-24,31.217188687662404,121.58051745477616,2023-10-03,1,4,0,14,0.0,1,0,six_months,289.2942120238467,1.3584696266533394,False,False,True,False,False,False,True,False,False,0,autumn,True,False,False,False,0,5501.963602814098
Resort Hotel,0,307,2022,April,4,20,6,0,6,2,2,1,SC,GBR,Direct,Corporate,0,1,3,F,A,2,No Deposit,2.0,5.0,23,Transient-Party,308.751584308686,2,0,Check-Out,2023-05-10,31.26364014179355,121.44193079883232,2022-04-06,2,2,0,6,0.0,5,1,six_months,277.36235236957344,1.1131704850025492,False,False,False,True,False,True,False,False,False,0,spring,False,True,False,False,0,1852.509505852116
Resort Hotel,0,194,2022,September,9,1,3,0,8,4,3,1,BB,DEU,Online TA,Direct,0,2,3,C,B,1,No Deposit,19.0,5.0,10,Transient,365.9329004227849,2,2,Check-Out,2023-09-21,31.19511744404634,121.56952656490348,2022-09-03,5,3,1,8,0.0,8,1,six_months,274.8028019539465,1.331619975563825,False,False,True,False,False,False,False,False,True,0,autumn,True,False,False,False,0,2927.463203382279
Resort Hotel,1,268,2023,October,10,1,23,4,13,4,3,0,HB,DEU,Groups,Direct,0,0,1,A,H,0,No Deposit,20.0,5.0,29,Transient,410.5527562773287,0,0,Canceled,2022-08-23,31.29198053765374,121.4274599326019,2023-10-23,0,4,0,17,0.23529411764705882,7,1,six_months,281.86645522625616,1.4565506063776732,False,False,True,False,False,False,True,False,False,0,autumn,True,False,False,False,0,6979.396856714588
Resort Hotel,0,302,2023,July,7,38,19,0,14,4,3,1,SC,ESP,Online TA,TA/TO,0,1,2,H,G,4,No Deposit,18.0,8.0,15,Transient,104.5969511584681,0,0,Check-Out,2022-02-01,31.25484803791557,121.40382899050738,2023-07-19,2,3,0,14,0.0,8,1,six_months,268.8445055347299,0.38906114503037914,False,False,True,False,False,False,False,False,True,0,summer,False,False,True,False,1,1464.3573162185535
City Hotel,1,179,2022,May,5,15,11,0,3,4,2,1,SC,ITA,Groups,Corporate,0,0,1,D,G,2,No Deposit,4.0,6.0,27,Transient,255.96991214961585,1,4,Canceled,2023-08-08,31.24279954555197,121.55474092395576,2022-05-11,2,2,0,3,0.0,7,1,three_months,280.51644474451695,0.9124952099786624,False,False,True,False,False,False,True,False,False,0,spring,False,True,False,False,0,767.9097364488475
City Hotel,0,95,2023,July,7,26,17,4,6,2,0,1,SC,GBR,Offline TA,Corporate,0,2,3,C,B,3,No Deposit,18.0,5.0,25,Group,376.31653484297937,2,2,Check-Out,2023-02-15,31.118757932888222,121.54283067370892,2023-07-17,0,3,0,10,0.4,3,1,three_months,274.8043908521611,1.3693978239431759,False,True,False,False,False,False,False,True,False,0,summer,False,False,True,False,1,3763.1653484297935
