hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude,arrival_date,arrival_dayofweek,arrival_quarter,arrival_is_weekend,total_nights,weekend_ratio,total_guests,has_children
City Hotel,0,107,2022,August,8,8,6,1,5,1,2,0,SC,FRA,Corporate,TA/TO,0,1,3,C,H,4,No Deposit,19.0,5.0,2,Contract,54.22187941047636,2,4,Check-Out,2022-06-17,31.182621541334747,121.46591764214004,2022-08-06,5,3,1,6,0.16666666666666666,3,1
City Hotel,0,81,2023,April,4,23,16,3,3,2,3,0,FB,DEU,Groups,Direct,0,1,1,A,G,4,No Deposit,11.0,5.0,25,Transient,111.68373585783245,2,4,Check-Out,2022-01-28,31.293487881731345,121.4306551163478,2023-04-16,6,2,1,6,0.5,5,1
City Hotel,0,59,2023,February,2,45,12,0,1,4,2,0,SC,FRA,Online TA,Corporate,0,1,4,E,D,4,No Deposit,14.0,5.0,14,Transient,336.259257505463,0,4,Check-Out,2022-11-15,31.22683159028401,121.41394093545772,2023-02-12,6,1,1,1,0.0,6,1
City Hotel,0,343,2023,October,10,39,3,0,14,1,0,0,FB,ESP,Groups,TA/TO,0,2,4,F,B,0,No Deposit,11.0,5.0,0,Transient,392.997400201007,2,1,Check-Out,2023-11-24,31.217188687662404,121.58051745477616,2023-10-03,1,4,0,14,0.0,1,0
Resort Hotel,0,307,2022,April,4,20,6,0,6,2,2,1,SC,GBR,Direct,Corporate,0,1,3,F,A,2,No Deposit,2.0,5.0,23,Transient-Party,308.751584308686,2,0,Check-Out,2023-05-10,31.26364014179355,121.44193079883232,2022-04-06,2,2,0,6,0.0,5,1
Resort Hotel,0,194,2022,September,9,1,3,0,8,4,3,1,BB,DEU,Online TA,Direct,0,2,3,C,B,1,No Deposit,19.0,5.0,10,Transient,365.9329004227849,2,2,Check-Out,2023-09-21,31.19511744404634,121.56952656490348,2022-09-03,5,3,1,8,0.0,8,1
Resort Hotel,1,268,2023,October,10,1,23,4,13,4,3,0,HB,DEU,Groups,Direct,0,0,1,A,H,0,No Deposit,20.0,5.0,29,Transient,410.5527562773287,0,0,Canceled,2022-08-23,31.29198053765374,121.4274599326019,2023-10-23,0,4,0,17,0.23529411764705882,7,1
Resort Hotel,0,302,2023,July,7,38,19,0,14,4,3,1,SC,ESP,Online TA,TA/TO,0,1,2,H,G,4,No Deposit,18.0,8.0,15,Transient,104.5969511584681,0,0,Check-Out,2022-02-01,31.25484803791557,121.40382899050738,2023-07-19,2,3,0,14,0.0,8,1
City Hotel,1,179,2022,May,5,15,11,0,3,4,2,1,SC,ITA,Groups,Corporate,0,0,1,D,G,2,No Deposit,4.0,6.0,27,Transient,255.96991214961585,1,4,Canceled,2023-08-08,31.24279954555197,121.55474092395576,2022-05-11,2,2,0,3,0.0,7,1
City Hotel,0,95,2023,July,7,26,17,4,6,2,0,1,SC,GBR,Offline TA,Corporate,0,2,3,C,B,3,No Deposit,18.0,5.0,25,Group,376.31653484297937,2,2,Check-Out,2023-02-15,31.118757932888222,121.54283067370892,2023-07-17,0,3,0,10,0.4,3,1
City Hotel,0,14,2022,September,9,31,29,3,13,1,0,0,BB,USA,Online TA,Direct,0,1,0,B,G,3,No Deposit,10.0,6.0,23,Transient,68.64924962700364,2,0,Check-Out,2022-07-22,31.2256991551434,121.57363924517222,2022-09-29,3,3,0,16,0.1875,1,0
City Hotel,0,215,2023,October,10,45,7,1,12,4,2,1,FB,PRT,Online TA,Direct,0,2,0,E,B,4,No Deposit,15.0,5.0,12,Transient,432.990585939566,1,3,Check-Out,2022-03-17,31.26221252245161,121.40506163433052,2023-10-07,5,4,1,13,0.07692307692307693,7,1
Resort Hotel,0,144,2022,October,10,35,27,4,12,3,0,1,HB,PRT,Corporate,Corporate,0,0,4,F,H,1,No Deposit,14.0,5.0,11,Transient,275.4835862461424,0,4,Check-Out,2022-04-29,31.17571107660238,121.42038084725962,2022-10-27,3,4,0,16,0.25,4,1
City Hotel,0,276,2022,December,12,45,7,2,9,4,1,1,FB,ITA,Corporate,Corporate,0,2,2,F,F,2,No Deposit,9.0,5.0,28,Transient,80.98542738002583,2,0,Check-Out,2023-10-24,31.115358621178085,121.4132302426252,2022-12-07,2,4,0,11,0.18181818181818182,6,1
City Hotel,0,137,2023,May,5,2,23,2,13,4,0,1,SC,GBR,Corporate,Direct,0,1,3,G,A,0,No Deposit,3.0,7.0,18,Transient,263.092735165606,0,0,Check-Out,2023-10-14,31.23709063964733,121.54047253258696,2023-05-23,1,2,0,15,0.13333333333333333,5,1
City Hotel,1,117,2022,October,10,9,29,1,0,2,2,1,SC,CHN,Groups,TA/TO,0,2,0,G,D,3,No Deposit,6.0,5.0,12,Transient,439.8333914626194,1,3,Canceled,2022-01-06,31.10002029621028,121.43733445513396,2022-10-29,5,4,1,1,1.0,5,1
Resort Hotel,1,307,2022,June,6,13,26,4,0,2,1,0,HB,PRT,Online TA,Direct,0,2,1,C,D,2,No Deposit,7.0,5.0,9,Transient,126.00910517818546,2,1,Canceled,2022-03-09,31.249942633829736,121.51109574171562,2022-06-26,6,2,1,4,1.0,3,1
City Hotel,1,271,2022,December,12,3,19,3,2,3,3,0,HB,GBR,Online TA,TA/TO,0,2,3,F,A,0,No Deposit,2.0,5.0,5,Transient-Party,422.58889955483545,0,1,Canceled,2022-07-29,31.17034615674932,121.49783729993366,2022-12-19,0,4,0,5,0.6,6,1
Resort Hotel,0,262,2023,March,3,39,16,4,8,1,0,0,FB,GBR,Offline TA,Direct,0,1,3,B,C,3,No Deposit,6.0,5.0,25,Transient,81.9004541756896,2,2,Check-Out,2023-06-14,31.23744922877821,121.47507515670144,2023-03-16,3,1,0,12,0.3333333333333333,1,0
Resort Hotel,0,62,2022,August,8,34,1,4,10,2,3,0,FB,DEU,Offline TA,Direct,0,2,3,D,C,2,No Deposit,13.0,5.0,13,Transient-Party,395.1947254289617,2,1,Check-Out,2023-07-22,31.119582496317616,121.53646789879691,2022-08-01,0,3,0,14,0.2857142857142857,5,1
Resort Hotel,1,13,2022,April,4,33,10,1,12,3,2,1,BB,USA,Online TA,Direct,0,0,1,A,F,3,No Deposit,14.0,5.0,4,Transient,405.6606707972563,1,1,Canceled,2022-02-28,31.235078557084936,121.55053440618188,2022-04-10,6,2,1,13,0.07692307692307693,6,1
Resort Hotel,0,212,2022,April,4,26,21,2,14,2,2,0,SC,CHN,Groups,Direct,0,1,4,H,E,1,No Deposit,13.0,5.0,16,Transient-Party,489.0299399954603,1,4,Check-Out,2022-12-15,31.173452923038347,121.54519852713196,2022-04-21,3,2,0,16,0.125,4,1
City Hotel,0,108,2023,May,5,44,1,1,14,1,3,1,FB,PRT,Offline TA,TA/TO,0,1,3,F,E,0,Non Refund,1.0,8.0,4,Transient,411.01599632272286,1,4,Check-Out,2022-05-31,31.199004506880907,121.45096967906828,2023-05-01,0,2,0,15,0.06666666666666667,5,1
City Hotel,0,145,2023,December,12,31,19,1,10,4,3,1,HB,GBR,Offline TA,Direct,0,0,2,E,G,0,No Deposit,15.0,5.0,18,Transient-Party,432.9042445730502,2,4,Check-Out,2022-02-19,31.1626206417435,121.50463649745888,2023-12-19,1,4,0,11,0.09090909090909091,8,1
Resort Hotel,0,28,2022,November,11,39,12,2,1,4,3,0,BB,ESP,Direct,Direct,0,2,1,H,F,2,Refundable,18.0,5.0,2,Transient,426.655812381965,2,0,Check-Out,2023-06-21,31.14151780755244,121.48517048586956,2022-11-12,5,4,1,3,0.6666666666666666,7,1
City Hotel,0,29,2022,August,8,52,7,2,2,2,3,0,BB,USA,Groups,Direct,0,1,1,B,D,3,Refundable,5.0,5.0,6,Transient,245.16362796213087,1,3,Check-Out,2022-08-26,31.2795033373124,121.49985827913626,2022-08-07,6,3,1,4,0.5,5,1
Resort Hotel,1,185,2022,January,1,18,13,3,5,1,0,1,SC,CHN,Offline TA,Corporate,0,1,3,A,C,3,No Deposit,4.0,5.0,3,Transient,429.6038652127837,1,4,Canceled,2023-11-13,31.299359260686757,121.5861100365886,2022-01-13,3,1,0,8,0.375,2,1
Resort Hotel,0,92,2022,November,11,23,20,1,12,4,3,0,SC,ITA,Online TA,Direct,0,2,0,E,D,2,No Deposit,12.0,5.0,24,Transient,211.4173033220817,0,3,Check-Out,2022-10-08,31.171555295191265,121.40378060536698,2022-11-20,6,4,1,13,0.07692307692307693,7,1
City Hotel,0,68,2023,February,2,15,27,0,9,2,3,0,SC,PRT,Offline TA,Direct,0,1,2,B,C,0,No Deposit,2.0,5.0,14,Transient,71.62269780751718,1,1,Check-Out,2022-09-05,31.204007030715644,121.47833002284932,2023-02-27,0,1,0,9,0.0,5,1
Resort Hotel,0,101,2022,June,6,44,23,2,3,1,3,0,FB,ESP,Groups,TA/TO,0,1,0,C,E,2,No Deposit,6.0,5.0,6,Transient,91.407653451922,1,2,Check-Out,2023-09-30,31.20472298621336,121.513350620366,2022-06-23,3,2,0,5,0.4,4,1
Resort Hotel,0,104,2023,April,4,24,5,4,0,2,2,0,HB,USA,Offline TA,TA/TO,0,2,1,F,A,2,No Deposit,11.0,5.0,8,Transient,429.6052598615565,2,4,Check-Out,2023-12-23,31.106162558777704,121.5599052168523,2023-04-05,2,2,0,4,1.0,4,1
