hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_month_num,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,latitude,longitude
City Hotel,0,107,2022,August,4,8,6,1,5,1,2,0,SC,FRA,Corporate,TA/TO,0,1,3,C,H,4,No Deposit,19,,2,Contract,54.22187941047636,2,4,Check-Out,2022-06-17,31.182621541334747,121.46591764214003
City Hotel,0,81,2023,April,9,23,16,3,3,2,3,0,FB,DEU,Groups,Direct,0,1,1,A,G,4,No Deposit,,,25,Transient,111.68373585783243,2,4,Check-Out,2022-01-28,31.293487881731345,121.4306551163478
City Hotel,0,59,2023,February,11,45,12,0,1,4,2,0,SC,FRA,Online TA,Corporate,0,1,4,E,D,4,No Deposit,14,,14,Transient,336.259257505463,0,4,Check-Out,2022-11-15,31.226831590284014,121.41394093545773
City Hotel,0,343,2023,October,3,39,3,0,14,1,0,0,FB,ESP,Groups,TA/TO,0,2,4,F,B,0,No Deposit,11,,0,Transient,392.997400201007,2,1,Check-Out,2023-11-24,31.217188687662404,121.58051745477617
Resort Hotel,0,307,2022,April,12,20,6,0,6,2,2,1,SC,GBR,Direct,Corporate,0,1,3,F,A,2,No Deposit,2,,23,Transient-Party,308.751584308686,2,0,Check-Out,2023-05-10,31.26364014179355,121.44193079883232
Resort Hotel,0,194,2022,September,10,1,3,0,8,4,3,1,BB,DEU,Online TA,Direct,0,2,3,C,B,1,No Deposit,19,,10,Transient,365.9329004227849,2,2,Check-Out,2023-09-21,31.19511744404634,121.56952656490348
Resort Hotel,1,268,2023,October,6,1,23,4,13,4,3,0,HB,DEU,Groups,Direct,0,0,1,A,H,0,No Deposit,20,,29,Transient,410.5527562773287,0,0,Canceled,2022-08-23,31.29198053765374,121.4274599326019
Resort Hotel,0,302,2023,July,4,38,19,0,14,4,3,1,SC,ESP,Online TA,TA/TO,0,1,2,H,G,4,No Deposit,18,8,15,Transient,104.5969511584681,0,0,Check-Out,2022-02-01,31.25484803791557,121.40382899050738
City Hotel,1,179,2022,May,10,15,11,0,3,4,2,1,SC,ITA,Groups,Corporate,0,0,1,D,G,2,No Deposit,4,6,27,Transient,255.96991214961582,1,4,Canceled,2023-08-08,31.242799545551975,121.55474092395575
City Hotel,0,95,2023,July,3,26,17,4,6,2,0,1,SC,GBR,Offline TA,Corporate,0,2,3,C,B,3,No Deposit,18,,25,Group,376.31653484297937,2,2,Check-Out,2023-02-15,31.118757932888226,121.54283067370893
